iter	Passed	Remaining
514	1270	1196
515	1272	1193
516	1277	1193
517	1278	1189
518	1280	1186
519	1281	1182
520	1282	1179
521	1284	1175
522	1285	1172
523	1286	1168
524	1289	1166
525	1290	1163
526	1291	1159
527	1292	1155
528	1294	1152
529	1295	1148
530	1296	1145
531	1298	1141
532	1302	1141
533	1304	1138
534	1305	1134
535	1307	1131
536	1308	1127
537	1309	1124
538	1311	1121
539	1312	1117
540	1315	1116
541	1317	1112
542	1318	1109
543	1319	1106
544	1321	1102
545	1322	1099
546	1323	1096
547	1325	1093
548	1328	1091
549	1330	1088
550	1331	1085
551	1333	1082
552	1335	1079
553	1337	1076
554	1339	1074
555	1345	1074
556	1347	1071
557	1349	1068
558	1350	1065
559	1354	1064
560	1357	1062
561	1359	1059
562	1361	1056
563	1362	1053
564	1374	1058
565	1376	1055
566	1378	1052
567	1381	1050
568	1382	1047
569	1384	1044
570	1387	1042
571	1388	1039
572	1390	1036
573	1392	1033
574	1393	1030
575	1395	1026
576	1396	1023
577	1399	1022
578	1401	1018
579	1402	1015
580	1404	1012
581	1406	1009
582	1407	1006
583	1409	1003
584	1410	1000
585	1414	999
586	1415	996
587	1417	993
588	1418	989
589	1420	986
590	1421	983
591	1423	980
592	1424	977
593	1428	976
594	1429	973
595	1431	970
596	1433	967
597	1434	964
598	1435	961
599	1437	958
600	1439	955
601	1442	953
602	1444	951
603	1446	948
604	1447	945
605	1449	942
606	1450	939
607	1451	936
608	1455	934
609	1457	931
610	1460	929
611	1462	926
612	1463	924
613	1465	921
614	1466	918
615	1468	915
616	1470	912
617	1471	909
618	1473	906
619	1474	903
620	1476	900
621	1477	897
622	1478	894
623	1481	892
624	1483	889
625	1484	886
626	1485	883
627	1487	881
628	1488	878
629	1489	874
630	1491	872
631	1494	870
632	1495	867
633	1497	864
634	1498	861
635	1499	858
636	1501	855
637	1502	852
638	1503	849
639	1504	846
640	1506	843
641	1509	841
642	1511	839
643	1512	836
644	1514	833
645	1515	830
646	1516	827
647	1518	824
648	1523	823
649	1524	821
650	1526	818
651	1528	815
652	1529	812
653	1530	809
654	1535	808
655	1537	806
656	1539	803
657	1540	800
658	1541	797
659	1543	794
660	1544	792
661	1545	789
662	1549	787
663	1551	784
664	1552	782
665	1553	779
666	1555	776
667	1556	773
668	1557	770
669	1558	767
670	1562	766
671	1564	763
672	1565	760
673	1566	757
674	1568	754
675	1569	752
676	1570	749
677	1571	746
678	1572	743
679	1575	741
680	1577	738
681	1578	735
682	1579	733
683	1580	730
684	1582	727
685	1583	724
686	1584	722
687	1586	719
688	1589	717
689	1591	714
690	1592	712
691	1594	709
692	1595	706
693	1597	704
694	1598	701
695	1599	698
696	1603	697
697	1604	694
698	1606	691
699	1607	689
700	1609	686
701	1610	683
702	1611	680
703	1613	678
704	1615	676
705	1617	673
706	1618	670
707	1619	668
708	1621	665
709	1623	662
710	1624	660
711	1632	660
712	1633	657
713	1635	654
714	1637	652
715	1638	650
716	1640	647
717	1641	644
718	1645	643
719	1647	640
720	1648	637
721	1650	635
722	1651	632
723	1652	630
724	1654	627
725	1655	624
726	1659	623
727	1660	620
728	1662	617
729	1663	615
730	1666	613
731	1668	610
732	1673	609
733	1675	607
734	1676	604
735	1679	602
736	1680	599
737	1682	597
738	1683	594
739	1686	592
740	1688	590
741	1689	587
742	1691	585
743	1694	583
744	1696	580
745	1697	578
746	1700	575
747	1702	573
748	1705	571
749	1707	569
750	1708	566
751	1711	564
752	1713	562
753	1715	559
754	1716	557
755	1718	554
756	1720	552
757	1721	549
758	1722	547
759	1724	544
760	1728	542
761	1729	540
762	1731	537
763	1732	535
764	1734	532
765	1735	530
766	1737	527
767	1738	525
768	1742	523
769	1743	520
770	1745	518
771	1747	515
772	1748	513
773	1750	511
774	1751	508
775	1753	506
776	1755	503
777	1757	501
778	1758	498
779	1760	496
780	1761	494
781	1763	491
782	1764	489
783	1767	487
784	1769	484
785	1770	482
786	1772	479
787	1773	477
788	1776	475
789	1778	472
790	1779	470
791	1781	467
792	1783	465
793	1785	463
794	1786	460
795	1788	458
796	1789	455
797	1791	453
798	1793	451
799	1795	448
800	1797	446
801	1798	444
802	1800	441
803	1801	439
804	1803	436
805	1807	435
806	1808	432
807	1810	430
808	1811	427
809	1813	425
810	1814	422
811	1815	420
812	1817	417
813	1820	416
814	1822	413
815	1823	411
816	1824	408
817	1826	406
818	1827	403
819	1829	401
820	1830	399
821	1834	397
822	1836	394
823	1837	392
824	1839	390
825	1840	387
826	1842	385
827	1843	382
828	1847	381
829	1849	378
830	1851	376
831	1852	374
832	1853	371
833	1854	369
834	1856	366
835	1858	364
836	1863	362
837	1865	360
838	1866	358
839	1868	355
840	1870	353
841	1871	351
842	1873	348
843	1876	346
844	1894	347
845	1895	345
846	1897	342
847	1899	340
848	1900	338
849	1919	338
850	1920	336
851	1928	335
852	1932	332
853	1933	330
854	1939	328
855	1941	326
856	1942	324
857	1944	321
858	1945	319
859	1947	316
860	1948	314
861	1953	312
862	1955	310
863	1957	308
864	1962	306
865	1964	303
866	1966	301
867	1968	299
868	1970	296
869	1972	294
870	1990	294
871	1998	293
872	2007	292
873	2009	289
874	2011	287
875	2012	284
876	2014	282
877	2016	280
878	2021	278
879	2023	275
880	2028	274
881	2030	271
882	2032	269
883	2033	266
884	2035	264
885	2036	262
886	2038	259
887	2042	257
888	2044	255
889	2046	252
890	2047	250
891	2049	248
892	2051	245
893	2056	243
894	2058	241
895	2115	245
896	2116	243
897	2119	240
898	2122	238
899	2124	236
900	2126	233
901	2128	231
902	2130	228
903	2134	226
904	2137	224
905	2139	221
906	2141	219
907	2143	217
908	2149	215
909	2151	212
910	2153	210
911	2154	207
912	2156	205
913	2157	203
914	2158	200
915	2161	198
916	2163	195
917	2165	193
918	2166	190
919	2171	188
920	2174	186
921	2175	184
922	2177	181
923	2178	179
924	2182	176
925	2185	174
926	2188	172
927	2191	170
928	2198	167
929	2201	165
930	2205	163
931	2207	161
932	2212	158
933	2214	156
934	2216	154
935	2218	151
936	2220	149
937	2221	146
938	2223	144
939	2226	142
940	2227	139
941	2229	137
942	2230	134
943	2232	132
944	2233	129
945	2234	127
946	2236	125
947	2239	122
948	2240	120
949	2242	118
950	2243	115
951	2244	113
952	2245	110
953	2246	108
954	2248	105
955	2249	103
956	2252	101
957	2253	98
958	2254	96
959	2256	94
960	2258	91
961	2259	89
962	2260	86
963	2263	84
964	2268	82
965	2269	79
966	2271	77
967	2272	75
968	2273	72
969	2275	70
970	2277	68
971	2280	65
972	2281	63
973	2283	60
974	2284	58
975	2286	56
976	2287	53
977	2289	51
978	2291	49
979	2294	46
980	2296	44
981	2297	42
982	2299	39
983	2300	37
984	2303	35
985	2305	32
986	2307	30
987	2311	28
988	2312	25
989	2314	23
990	2315	21
991	2317	18
992	2318	16
993	2322	14
994	2323	11
995	2325	9
996	2326	7
997	2328	4
998	2329	2
999	2331	0
